140, 90, 30.875547578472187, 564, 1221, 33, 2047, 0, 1670146516722, 1670146520712, [150, 10, 25], [-1, 1], 65.4543369228462
130, 90, 26.662419856628492, 605, 1264, 27, 2386, 0, 1670146575950, 1670146597838, [140, 10, 25], [-1, 0], 63.233359475779494
130, 80, 21.42878720922233, 1073, 2136, 38, 3069, 0, 1670146643617, 1670146649998, [130, 9, 25], [0, -1], 34.52099512132187
130, 80, 41.64038703022537, 556, 997, 22, 1611, 0, 1670146685888, 1670146690298, [130, 11, 25], [0, 0], 55.35860592640762
130, 80, 28.12949852603517, 730, 1481, 11, 2206, 0, 1670146751348, 1670146754736, [130, 10, 25], [0, 0], 47.47673079971719
130, 70, 37.41985676680069, 708, 1296, 30, 1715, 0, 1670146793741, 1670146797523, [130, 10, 25], [0, -1], 40.80778772982928
130, 70, 20.271682129153163, 801, 1284, 36, 5607, 0, 1670146874015, 1670146877705, [130, 11, 24], [0, 0], 39.678638016534705
140, 60, 8.734241296931051, 1437, 2230, 52, 11479, 0, 1670147022361, 1670147044012, [130, 9, 24], [1, -1], 20.381307562429434
140, 50, 27.39671473230817, 802, 1393, 38, 2283, 0, 1670147088283, 1670147091787, [140, 7, 24], [0, -1], 27.424704245260266
140, 50, 32.88821211043972, 499, 1193, 32, 1945, 0, 1670147129797, 1670147133111, [140, 8, 24], [0, 0], 39.6477473090174
130, 40, 15.692251529337941, 848, 1688, 36, 3975, 0, 1670147211733, 1670147220115, [140, 9, 24], [-1, -1], 21.95946487601821
120, 50, 34.079860364401085, 702, 1184, 30, 1818, 0, 1670147272881, 1670147280223, [130, 10, 25], [-1, 1], 29.821567726655545
130, 60, 25.58264465895387, 781, 1387, 34, 2593, 0, 1670147343742, 1670147349620, [120, 10, 25], [1, 1], 33.9623700634602
120, 50, 24.627963426124573, 687, 1089, 30, 2996, 0, 1670147422716, 1670147431042, [130, 10, 25], [-1, -1], 31.826381590677755
130, 60, 34.49100875745473, 652, 1143, 32, 1790, 0, 1670147483733, 1670147487239, [120, 9, 25], [1, 1], 37.97641243106414
120, 50, 31.732088006172134, 603, 1021, 36, 2100, 0, 1670147578617, 1670147581637, [130, 10, 24], [-1, -1], 34.24993690223779
110, 50, 21.57659464594665, 850, 1795, 56, 3110, 0, 1670147646537, 1670147648541, [120, 9, 24], [-1, 0], 26.700661847261824
110, 40, 27.85465164489716, 661, 1358, 39, 2311, 0, 1670147689609, 1670147694825, [110, 12, 24], [0, -1], 25.89269578650321
120, 30, 28.90726991222014, 666, 1393, 42, 2183, 0, 1670147751968, 1670147755433, [110, 13, 24], [1, -1], 19.190688256811303
130, 30, 33.095302749667155, 466, 976, 15, 1864, 0, 1670147818706, 1670147822745, [120, 13, 25], [1, 0], 25.0676320116498
120, 20, 21.298527192168677, 848, 1630, 30, 3144, 0, 1670147882458, 1670147904311, [130, 12, 25], [-1, -1], 10.715884193905529
110, 20, 28.815630460403874, 419, 920, 24, 2164, 0, 1670147965295, 1670147968907, [120, 13, 26], [-1, 0], 18.71739003052238
100, 20, 30.753592105236066, 553, 1051, 43, 2058, 0, 1670148022864, 1670148028008, [110, 14, 28], [-1, -1], 14.792584990994076
100, 20, 26.862060984326508, 810, 1649, 34, 2381, 0, 1670148074957, 1670148078454, [100, 13, 27], [0, -1], 10.899797417546043
100, 20, 42.63823990081609, 352, 697, 22, 1265, 0, 1670148115743, 1670148117798, [100, 11, 25], [0, -1], 19.136816309666024
110, 30, 25.35962113278644, 575, 1166, 36, 2578, 0, 1670148179528, 1670148183442, [100, 14, 25], [1, 1], 22.174965415217066
110, 40, 33.149943879353486, 560, 995, 31, 1928, 0, 1670148241167, 1670148243033, [110, 13, 26], [0, 1], 28.876705865315632
100, 40, 26.337662489267718, 742, 1539, 36, 2593, 0, 1670148308679, 1670148312367, [110, 12, 25], [-1, 0], 23.602979476103847
110, 40, 27.76808153730151, 488, 957, 25, 2325, 0, 1670148400496, 1670148404112, [100, 12, 26], [1, 0], 33.38495057609916
120, 50, 44.16655075037255, 552, 985, 35, 1416, 0, 1670148456655, 1670148458777, [110, 13, 25], [1, 1], 34.30926245381093
