140, 80, 32.7130509087644, 766, 1309, 31, 2052, 0, 1670157950107, 1670157953461, [130, 10, 27], [1, 0], 44.600436769709475
130, 80, 22.043313165206285, 1108, 2223, 48, 3070, 0, 1670158037141, 1670158040602, [140, 10, 26], [-1, 0], 33.43997193635794
120, 70, 35.63591901969035, 510, 1142, 19, 1818, 0, 1670158096122, 1670158098773, [130, 9, 24], [-1, -1], 53.636256518982094
110, 80, 29.951575021137568, 723, 1307, 35, 2075, 0, 1670158154170, 1670158161024, [120, 10, 25], [-1, 1], 47.460490027171375
120, 90, 36.60648187265366, 593, 1142, 45, 1666, 0, 1670158216369, 1670158220143, [110, 11, 25], [1, 1], 60.85802286202787
120, 80, 25.09826252577695, 921, 1615, 40, 2450, 0, 1670158262471, 1670158271466, [120, 10, 25], [0, -1], 39.16220107035393
130, 90, 19.918565002803202, 945, 1750, 41, 3664, 0, 1670158333673, 1670158343561, [120, 11, 25], [1, 1], 43.91639544015439
120, 100, 22.329461479861614, 1009, 1745, 33, 2740, 0, 1670158404700, 1670158409166, [130, 10, 25], [-1, 1], 45.52416241415341
110, 90, 31.550067129803487, 701, 1326, 12, 1912, 0, 1670158462138, 1670158466063, [120, 11, 26], [-1, -1], 54.400369188171695
100, 100, 29.471708167021745, 531, 1044, 34, 2145, 0, 1670158520710, 1670158524525, [110, 10, 27], [-1, 1], 77.05503869513034
90, 100, 38.27872757103874, 452, 815, 19, 1722, 0, 1670158576396, 1670158580614, [100, 10, 27], [-1, 1], 82.62893402596967
90, 100, 37.95630861104065, 569, 990, 38, 1849, 0, 1670158620818, 1670158623241, [90, 11, 26], [0, 1], 69.36494119626046
100, 100, 15.701873203784071, 1209, 2858, 65, 4193, 0, 1670158702266, 1670158706778, [90, 10, 26], [1, 1], 39.31412598405547
100, 100, 30.580843068079126, 648, 1406, 22, 2125, 0, 1670158748731, 1670158752325, [100, 10, 26], [0, 0], 64.90780599387621
100, 100, 26.506279042782968, 805, 1489, 25, 2391, 0, 1670158796428, 1670158798548, [100, 10, 26], [0, 0], 54.883228917047475
110, 90, 31.898390557424037, 679, 1452, 42, 1969, 0, 1670158852488, 1670158856371, [100, 9, 26], [1, -1], 55.79017997069657
110, 100, 28.49589174780953, 749, 1287, 38, 2259, 0, 1670158897034, 1670158901655, [110, 11, 26], [0, 1], 57.93853082779229
100, 100, 39.1650544169088, 620, 1045, 54, 1632, 0, 1670158954297, 1670158958233, [110, 11, 26], [-1, 1], 64.37821696359508
90, 100, 26.95175358283283, 780, 1367, 24, 2205, 0, 1670159031603, 1670159035127, [100, 11, 26], [-1, 0], 56.31854580204961
80, 90, 36.8945169095025, 618, 1027, 28, 1718, 0, 1670159086646, 1670159093625, [90, 10, 26], [-1, -1], 58.77911332914182
70, 90, 35.10591370084569, 525, 1052, 37, 1870, 0, 1670159165966, 1670159167580, [80, 10, 26], [-1, 0], 67.6260900482963
70, 80, 39.56580801736409, 655, 1110, 40, 1651, 0, 1670159208742, 1670159211085, [70, 9, 26], [0, -1], 49.18456709055282
80, 90, 30.120041443907084, 529, 993, 11, 2127, 0, 1670159265650, 1670159272019, [70, 11, 24], [1, 1], 69.28618050446494
80, 80, 32.89029550362231, 633, 1117, 44, 2022, 0, 1670159328442, 1670159332379, [80, 9, 24], [0, -1], 52.31759202658808
80, 70, 20.222663190273018, 710, 1345, 50, 5631, 0, 1670159389847, 1670159414215, [80, 9, 24], [0, -1], 44.253905236850244
70, 70, 30.02533030407774, 650, 1198, 56, 2268, 0, 1670159480379, 1670159482286, [80, 9, 25], [-1, 0], 45.448565059881226
