130, 21.16717386815376, 811, 1487, 63, 3422, 5, 1670058754426, 1670058758471, [140, 12, 25], [-1, -1], 2.2370718524787314
130, 26.877191671006795, 713, 1243, 25, 2621, 0, 1670058799669, 1670058809918, [130, 10, 25], [0, -1], 3.2817083847383146
130, 15.690648404308881, 1170, 2618, 26, 3921, 0, 1670058873401, 1670058875363, [130, 10, 24], [0, 1], 1.0749964650800823
140, 29.615043417489535, 630, 1070, 49, 2124, 0, 1670058946767, 1670058950589, [130, 10, 25], [1, -1], 4.124657857589072
130, 29.416071818246905, 865, 1496, 39, 2115, 0, 1670059008004, 1670059010175, [140, 9, 25], [-1, -1], 2.9677231455051354
130, 31.587048012913208, 614, 1140, 18, 1990, 0, 1670059051063, 1670059054562, [130, 11, 25], [0, -1], 4.391969968425085
120, 26.169613145362497, 823, 1651, 29, 2507, 0, 1670059110143, 1670059119478, [130, 12, 25], [-1, 1], 2.6471386956668517
110, 24.226729265958426, 950, 1736, 71, 2591, 0, 1670059180025, 1670059184419, [120, 11, 25], [-1, 0], 2.188107773298268
100, 24.789289931986833, 600, 1288, 22, 2344, 0, 1670059244271, 1670059247727, [110, 13, 25], [-1, -1], 3.3608039495643753
100, 25.992662660756668, 673, 1183, 17, 2467, 0, 1670059289455, 1670059296605, [100, 12, 25], [0, -1], 3.353891956226667
90, 30.19786667503054, 679, 1244, 84, 2025, 0, 1670059352914, 1670059356956, [100, 13, 26], [-1, 0], 3.8128619539179973
90, 48.557949325649695, 323, 641, 13, 1113, 0, 1670059393476, 1670059395307, [90, 13, 26], [0, -1], 12.560255904203233
100, 28.722743831188325, 644, 920, 22, 5025, 2, 1670059484555, 1670059487029, [90, 14, 25], [1, -1], 4.107943911783226
100, 44.62325380721602, 460, 925, 36, 1442, 14, 1670059540519, 1670059544252, [100, 13, 25], [0, 1], 8.069304485934179
110, 29.606426680830975, 667, 1392, 24, 2025, 0, 1670059601065, 1670059604745, [100, 12, 25], [1, 0], 3.646111660200859
110, 21.541077522999018, 1053, 2029, 65, 2746, 0, 1670059649980, 1670059655650, [110, 12, 25], [0, 1], 1.7257713125299647
100, 34.99846476908358, 505, 975, 49, 1644, 0, 1670059708488, 1670059711958, [110, 16, 25], [-1, 0], 5.84281548732614
100, 27.579705552735344, 694, 1335, 55, 2309, 0, 1670059757459, 1670059761209, [100, 11, 25], [0, -1], 3.354379172067057
100, 36.36247872160827, 465, 1031, 16, 1814, 0, 1670059804508, 1670059806709, [100, 13, 25], [0, 0], 6.28891019052374
90, 43.54838002922044, 533, 982, 41, 1503, 0, 1670059876258, 1670059879438, [100, 13, 26], [-1, 0], 6.99235389036937
80, 36.276699445045494, 601, 1105, 37, 1721, 0, 1670059934933, 1670059937281, [90, 11, 26], [-1, -1], 5.169093679829794
80, 41.36997810511399, 410, 768, 26, 1372, 0, 1670059974639, 1670059976603, [80, 15, 25], [0, -1], 8.590111732789449
70, 25.45083693736595, 585, 849, 25, 2990, 0, 1670060054155, 1670060056071, [80, 14, 25], [-1, 0], 3.990410306893376
80, 39.06480359875367, 459, 865, 47, 1669, 6, 1670060127344, 1670060129727, [70, 12, 26], [1, -1], 7.23154453882889
70, 28.566803730970292, 477, 1008, 25, 2198, 4, 1670060201961, 1670060205614, [80, 13, 27], [-1, 1], 4.89828596210053
60, 37.646446434922225, 527, 1007, 30, 1746, 0, 1670060257922, 1670060261695, [70, 12, 27], [-1, 0], 6.042768288109506
70, 14.333281360587371, 1389, 2800, 100, 9542, 0, 1670060400625, 1670060409756, [60, 14, 27], [1, 0], 0.8576640354587944
70, 31.982137420299523, 460, 940, 29, 2018, 0, 1670060448718, 1670060453187, [70, 10, 25], [0, -1], 5.752182989262504
70, 29.702401872678752, 627, 1126, 27, 2101, 0, 1670060498484, 1670060502067, [70, 14, 25], [0, -1], 4.086736636306928
60, 41.64335416137756, 455, 860, 36, 1429, 0, 1670060556501, 1670060559878, [70, 16, 25], [-1, 0], 7.7692824927943205
60, 47.2507751696597, 385, 663, 21, 1152, 0, 1670060594937, 1670060597285, [60, 16, 25], [0, 1], 10.724188644952267
50, 48.39775957387759, 343, 629, 37, 1121, 0, 1670060655318, 1670060657770, [60, 14, 25], [-1, -1], 12.093393196870963
