90, 33.00963217453085, 589, 1090, 47, 1807, 0, 1669919725406, 1669919729177, [100, 8, 25], [-1], 4.7895577734374415
100, 35.551426371913934, 637, 1247, 32, 1806, 0, 1669919781844, 1669919784731, [90, 10, 26], [1], 4.683982394191559
90, 31.80224033359491, 643, 1073, 45, 2047, 0, 1669919839742, 1669919842009, [100, 9, 25], [-1], 4.362447233689288
80, 30.376936405165914, 824, 1403, 39, 2169, 0, 1669919895879, 1669919917828, [90, 10, 25], [-1], 3.2322766977192927
90, 27.371983638885876, 678, 1328, 52, 2132, 0, 1669919991921, 1669919995646, [80, 12, 26], [1], 3.3876217374858757
90, 22.47397647014474, 588, 914, 20, 4815, 0, 1669920065792, 1669920069456, [90, 10, 26], [0], 3.4405965202303643
90, 25.107361943310025, 659, 1580, 19, 2583, 0, 1669920114416, 1669920118126, [90, 10, 26], [0], 2.9776283139599173
80, 22.02280543571111, 948, 1600, 49, 3322, 0, 1669920178398, 1669920186642, [90, 9, 26], [-1], 2.042174094557781
90, 33.10113466897466, 679, 1239, 39, 1892, 0, 1669920239313, 1669920249810, [80, 10, 27], [1], 4.184719932866581
90, 30.01316365649363, 511, 875, 22, 2140, 0, 1669920288413, 1669920299277, [90, 12, 26], [0], 5.141000968909496
100, 39.16177761286157, 549, 1075, 30, 1590, 0, 1669920351034, 1669920355616, [90, 12, 26], [1], 5.986208745469515
110, 21.422447043238446, 995, 2286, 44, 2999, 0, 1669920416550, 1669920427454, [100, 9, 26], [1], 1.709419649157233
120, 22.40094689225078, 996, 1649, 28, 3063, 0, 1669920487205, 1669920495019, [110, 12, 26], [1], 1.9883673790387695
110, 29.14460536796064, 641, 1344, 18, 2168, 0, 1669920561260, 1669920564342, [120, 11, 27], [-1], 3.728838967241637
120, 23.977092036106605, 860, 1740, 26, 2545, 0, 1669920620840, 1669920626631, [110, 11, 26], [1], 2.3143911231763132
120, 10.751255709686234, 1258, 2386, 39, 6761, 0, 1669920692113, 1669920713747, [120, 11, 26], [0], 0.724673477331237
120, 28.6285306977926, 718, 1188, 18, 2156, 0, 1669920755227, 1669920759142, [120, 10, 26], [0], 3.525681120417808
130, 31.18489171972506, 726, 1441, 31, 2005, 0, 1669920813085, 1669920817153, [120, 10, 25], [1], 3.5885951346058755
140, 35.4652038251598, 732, 1269, 31, 1801, 0, 1669920889143, 1669920892082, [130, 11, 25], [1], 4.22506597869428
150, 33.06663105343299, 894, 1492, 61, 1911, 0, 1669920962345, 1669920966321, [140, 10, 25], [1], 3.2622958813568457
160, 26.398181354267468, 915, 1595, 38, 2343, 0, 1669921040255, 1669921044957, [150, 11, 25], [1], 2.511720395268075
160, 28.930567611230135, 777, 1505, 38, 2271, 0, 1669921085214, 1669921090727, [160, 10, 26], [0], 3.1357649697843195
150, 25.87433458059571, 603, 1212, 36, 5371, 0, 1669921178775, 1669921181933, [160, 10, 26], [-1], 3.5698585238128735
140, 26.05833579420053, 785, 1406, 31, 2439, 0, 1669921240582, 1669921244048, [150, 10, 26], [-1], 2.866073008601026
130, 36.10205498943061, 596, 1238, 16, 1770, 0, 1669921296679, 1669921300491, [140, 11, 26], [-1], 4.983718248126809
140, 29.821129682031902, 712, 1249, 67, 2480, 0, 1669921355817, 1669921377545, [130, 11, 26], [1], 3.6393860973922254
130, 16.60867553468507, 1318, 2339, 99, 4049, 0, 1669921461667, 1669921465186, [140, 10, 25], [-1], 1.0910968029618362
120, 16.883445257686986, 1159, 2272, 49, 4584, 1, 1669921545344, 1669921549854, [130, 10, 25], [-1], 1.222021225947234
110, 34.82497708059204, 761, 1276, 30, 1727, 0, 1669921619813, 1669921622589, [120, 11, 25], [-1], 4.030668643587041
120, 29.90304169900994, 717, 1359, 39, 2063, 0, 1669921676831, 1669921698789, [110, 12, 25], [1], 3.5371471136751755
110, 37.45677002850623, 614, 1161, 44, 1795, 0, 1669921751103, 1669921757405, [120, 11, 24], [-1], 5.177878079693976
110, 53.18837604369562, 453, 820, 20, 1314, 0, 1669921794829, 1669921796327, [110, 11, 26], [0], 10.104174780337312
120, 21.330008684340374, 1050, 2361, 32, 3972, 0, 1669921871516, 1669921874906, [110, 10, 25], [1], 1.6255150651074814
130, 30.23144670263339, 554, 1252, 30, 2355, 0, 1669921930478, 1669921952401, [120, 13, 25], [1], 4.358628417334687
120, 21.082678258994868, 772, 1324, 88, 3366, 3, 1669922032696, 1669922035056, [130, 10, 25], [-1], 2.3892427764046764
110, 33.01422642756085, 641, 1153, 45, 2061, 0, 1669922095059, 1669922097242, [120, 10, 25], [-1], 4.4409774586441815
