30, 50, 177.33990147783248, 33, 70, 9, 249, 0, 1675810464272, 1675810465492, [40, 4, 5], [-1, 0], 438.9601521728526
30, 50, 191.66377380184886, 17, 33, 8, 68, 0, 1675810488837, 1675810489879, [30, 4, 5], [0, 0], 948.8305633754893
30, 50, 188.59032952181104, 17, 35, 8, 64, 0, 1675810513264, 1675810514326, [30, 4, 5], [0, 0], 915.4870365136456
20, 50, 191.38826084846352, 15, 23, 8, 38, 0, 1675810552798, 1675810553842, [30, 4, 5], [-1, -1], 1152.9413304124307
30, 50, 187.8258845232353, 15, 28, 8, 43, 0, 1675810592489, 1675810593541, [20, 4, 5], [1, -1], 1067.1925257002003
40, 50, 191.66623808859077, 19, 34, 8, 48, 0, 1675810632054, 1675810633104, [30, 4, 5], [1, 0], 871.2101731299581
40, 50, 190.65846235495007, 21, 35, 8, 144, 0, 1675810656479, 1675810657532, [40, 4, 5], [0, 0], 801.0859762813029
40, 50, 191.11362723255053, 14, 22, 8, 39, 0, 1675810680944, 1675810681991, [40, 4, 5], [0, 0], 1225.087354054811
50, 50, 191.93857965451056, 20, 36, 8, 154, 0, 1675810720457, 1675810721500, [40, 5, 5], [1, 0], 827.3214640280628
40, 50, 183.4617313444872, 43, 90, 9, 308, 0, 1675810760280, 1675810761322, [50, 4, 5], [-1, -1], 350.1178079093267
40, 50, 190.5673259200616, 25, 45, 8, 106, 0, 1675810784683, 1675810785745, [40, 4, 5], [0, 0], 657.1287100691779
30, 50, 179.88972993178209, 23, 38, 10, 133, 0, 1675810824319, 1675810825510, [40, 5, 5], [-1, 0], 691.8835766607002
20, 50, 159.11906017219542, 119, 205, 11, 735, 0, 1675810864410, 1675810866124, [30, 4, 5], [-1, -1], 116.82750379750031
30, 50, 189.03743673812147, 46, 86, 8, 297, 0, 1675810904695, 1675810905742, [20, 5, 5], [1, 0], 350.06932729281755
20, 50, 189.84855365496762, 22, 43, 9, 66, 0, 1675810944517, 1675810945560, [30, 5, 5], [-1, 0], 724.6128002098
30, 50, 188.09825325966227, 18, 28, 9, 53, 0, 1675810984010, 1675810985090, [20, 4, 5], [1, -1], 940.4912662983113
40, 50, 191.20476366743898, 26, 58, 8, 250, 0, 1675811023489, 1675811024544, [30, 4, 5], [1, -1], 590.1381594674041
40, 50, 188.2133805017666, 45, 71, 9, 183, 0, 1675811048108, 1675811049192, [40, 4, 5], [0, 0], 374.9270527923637
30, 50, 190.74873198029385, 23, 50, 8, 152, 0, 1675811087614, 1675811089201, [40, 4, 5], [-1, 0], 671.6504647193445
30, 50, 185.6823092816179, 27, 46, 8, 141, 0, 1675811112993, 1675811114043, [30, 4, 5], [0, 0], 602.8646405247333
30, 50, 190.47619047619045, 13, 22, 8, 36, 0, 1675811152477, 1675811153529, [30, 4, 5], [0, -1], 1287.0012870012868
30, 50, 191.1143252650764, 21, 35, 8, 139, 0, 1675811191943, 1675811193009, [30, 4, 5], [0, -1], 803.0013666599848
30, 50, 185.01640929532027, 16, 30, 8, 62, 0, 1675811231574, 1675811232660, [30, 4, 5], [0, -1], 984.1298366772355
