120, 80, 36.01760818695014, 544, 985, 29, 1807, 0, 1670311685657, 1670311688543, [130, 9, 23], [-1, -1], 5.697185730298978
130, 90, 26.81843808874088, 703, 1507, 26, 2317, 0, 1670311748364, 1670311752250, [120, 12, 23], [1, 1], 3.1047045715143415
120, 100, 28.284539444075563, 783, 1901, 26, 2569, 0, 1670311823822, 1670311831290, [130, 10, 23], [-1, 1], 2.8099085479908164
110, 100, 27.111398321301863, 836, 1748, 35, 2780, 0, 1670311895651, 1670311897020, [120, 10, 23], [-1, 1], 2.6621561588081164
100, 100, 17.840990096521086, 966, 1971, 44, 6158, 0, 1670311972285, 1670311996681, [110, 10, 23], [-1, 0], 1.528790925151764
100, 100, 33.39252442626675, 652, 1242, 39, 1856, 0, 1670312048867, 1670312053953, [100, 10, 23], [0, 1], 4.336691483930747
90, 100, 30.949358729911808, 647, 1161, 42, 2125, 17, 1670312127205, 1670312130033, [100, 10, 23], [-1, 1], 4.1276818791560155
90, 90, 29.56410968475485, 752, 1633, 39, 2104, 0, 1670312185375, 1670312192153, [90, 10, 23], [0, -1], 3.185101237314679
100, 100, 31.276802976018637, 601, 1229, 35, 2067, 0, 1670312248814, 1670312252977, [90, 12, 22], [1, 1], 4.304542110654918
90, 90, 35.01725629009477, 649, 1113, 24, 1779, 0, 1670312307979, 1670312310868, [100, 11, 22], [-1, -1], 4.720579170948338
80, 80, 46.481702926421946, 424, 865, 10, 1351, 0, 1670312362698, 1670312364792, [90, 11, 23], [-1, -1], 9.074912715037474
80, 90, 30.02911251420346, 644, 1297, 20, 2165, 0, 1670312421703, 1670312425013, [80, 10, 23], [0, 1], 3.8767250857479283
90, 80, 41.726265824801324, 640, 1124, 41, 1603, 0, 1670312478289, 1670312480545, [80, 11, 23], [1, -1], 5.663173971878574
100, 90, 20.933824373065914, 840, 1332, 58, 3157, 0, 1670312541426, 1670312548365, [90, 11, 23], [1, 1], 2.2307996987495646
110, 90, 43.09504180757212, 456, 953, 14, 1512, 0, 1670312599518, 1670312604545, [100, 11, 23], [1, 0], 7.7592801237976445
100, 100, 34.26049683700623, 473, 959, 45, 1868, 0, 1670312659076, 1670312661892, [110, 11, 23], [-1, 1], 6.008505232726451
100, 100, 38.84143853624288, 647, 1248, 19, 1811, 0, 1670312712593, 1670312713847, [100, 11, 23], [0, 0], 5.062752676778269
90, 90, 25.964869827989776, 728, 1072, 33, 3640, 18, 1670312793855, 1670312796625, [100, 10, 23], [-1, -1], 3.2586433017055447
100, 90, 17.97952666110499, 1248, 2893, 44, 6863, 0, 1670312949852, 1670312953224, [90, 10, 23], [1, 0], 1.1401094902412803
110, 90, 27.070101098452618, 671, 1244, 17, 2470, 0, 1670313011561, 1670313016557, [100, 9, 23], [1, 0], 3.445786799701198
120, 90, 28.79454280484462, 786, 1371, 90, 2754, 0, 1670313092660, 1670313096013, [110, 10, 23], [1, 0], 3.188764430215351
120, 100, 34.37104850659497, 658, 1134, 29, 1918, 0, 1670313148080, 1670313152950, [120, 10, 23], [0, 1], 4.563336232952066
130, 100, 16.734217487814426, 1058, 1402, 50, 6010, 0, 1670313228304, 1670313250233, [120, 10, 23], [1, 1], 1.485109823199718
130, 90, 45.878181531845605, 473, 918, 23, 1378, 0, 1670313302699, 1670313304072, [130, 10, 23], [0, -1], 8.16337749676968
120, 90, 46.597336403066606, 432, 846, 7, 1380, 0, 1670313354030, 1670313357446, [130, 11, 22], [-1, 0], 9.051541647837334
130, 100, 39.37210458998032, 486, 889, 19, 1682, 0, 1670313408806, 1670313412468, [120, 11, 23], [1, 1], 6.948835967169134
120, 90, 26.296838732802588, 885, 1765, 33, 2359, 0, 1670313474134, 1670313477750, [130, 11, 23], [-1, -1], 2.478495639283939
130, 100, 36.62225377442058, 474, 906, 47, 1667, 0, 1670313529396, 1670313532863, [120, 11, 23], [1, 1], 6.535020302359132
120, 90, 26.85980257273517, 696, 1301, 54, 2349, 0, 1670313588863, 1670313610705, [130, 11, 23], [-1, -1], 3.287613533994513
130, 90, 28.314663181989374, 670, 1269, 27, 2213, 0, 1670313666114, 1670313676497, [120, 11, 23], [1, 0], 3.5850421856152663
130, 90, 28.548061619032516, 769, 1622, 25, 2482, 0, 1670313718747, 1670313725643, [130, 11, 23], [0, 0], 3.0383207342520766
