90, 80, 39.25478157215698, 548, 979, 36, 1706, 0, 1670248342672, 1670248344664, [100, 7, 18], [-1, 1], 6.189653354171709
90, 70, 21.72957580289559, 691, 1528, 36, 3335, 0, 1670248407684, 1670248414190, [90, 10, 18], [0, -1], 2.531404450477119
90, 60, 48.339065773363224, 408, 744, 18, 1335, 0, 1670248463112, 1670248467590, [90, 9, 18], [0, -1], 10.172362326044448
100, 70, 43.91715385475087, 616, 1083, 29, 1546, 0, 1670248521656, 1670248524074, [90, 9, 18], [1, 1], 6.190746243973902
90, 60, 50.55748362984209, 425, 821, 18, 1298, 0, 1670248592984, 1670248595119, [100, 10, 18], [-1, -1], 10.027267677477605
90, 70, 35.08564540464065, 474, 913, 30, 1877, 0, 1670248649662, 1670248651045, [90, 8, 18], [0, 1], 6.245219901146431
90, 80, 33.735303352514684, 592, 1143, 14, 1930, 0, 1670248712966, 1670248716379, [90, 9, 18], [0, 1], 4.80423004165689
90, 80, 37.04319582053015, 440, 931, 20, 1772, 0, 1670248756489, 1670248760616, [90, 9, 18], [0, 0], 6.882793723621358
100, 70, 32.41599111428222, 698, 1404, 68, 2063, 0, 1670248814846, 1670248819003, [90, 10, 18], [1, -1], 3.8627253472690923
100, 80, 61.89239261876482, 234, 486, 11, 875, 0, 1670248866436, 1670248870068, [100, 10, 18], [0, 1], 21.762444662012946
110, 90, 39.47692588157404, 614, 1114, 36, 1758, 0, 1670248924310, 1670248926338, [100, 10, 19], [1, 1], 5.528981215906728
120, 90, 7.461688180818145, 1581, 3649, 81, 12602, 6, 1670249058498, 1670249095087, [110, 11, 19], [1, 0], 0.37409446409396085
130, 80, 39.32226553192772, 519, 939, 46, 1654, 0, 1670249150098, 1670249151222, [120, 10, 18], [1, -1], 6.5211053950128886
140, 90, 20.550578461003433, 1587, 3944, 32, 6987, 1, 1670249256461, 1670249259277, [130, 11, 19], [1, 1], 0.998376334094609
130, 100, 38.84462883095328, 613, 1285, 37, 1730, 0, 1670249310820, 1670249314460, [140, 9, 18], [-1, 1], 5.197301154797067
140, 100, 47.240522978151645, 396, 860, 7, 1403, 0, 1670249365920, 1670249367892, [130, 10, 19], [1, 1], 9.664591443975377
