30, 100, 140.71004751800027, 147, 239, 14, 987, 0, 1675774520427, 1675774521639, [40, 4, 5], [-1, 1], 85.07258011970995
20, 100, 187.53132115947636, 18, 35, 7, 51, 0, 1675774560103, 1675774561167, [30, 6, 5], [-1, 1], 876.3145848573663
20, 100, 186.0490875373937, 13, 22, 7, 46, 0, 1675774599942, 1675774601023, [20, 5, 5], [0, 1], 1257.088429306714
20, 100, 180.42403309971257, 45, 79, 10, 233, 0, 1675774624758, 1675774625868, [20, 4, 5], [0, 0], 348.30894420793936
30, 100, 186.4811997391871, 17, 32, 8, 51, 0, 1675774664755, 1675774665827, [20, 4, 5], [1, 0], 932.4059986959355
30, 100, 156.67566756675666, 47, 67, 7, 362, 0, 1675774705232, 1675774706733, [30, 4, 5], [0, 1], 307.207191307366
30, 100, 187.88499214571897, 13, 22, 7, 39, 0, 1675774745270, 1675774746344, [30, 4, 5], [0, 1], 1269.4931901737768
30, 100, 187.88665025195695, 16, 30, 8, 52, 0, 1675774784959, 1675774786020, [30, 4, 5], [0, 1], 999.3970758082817
30, 100, 171.912932802225, 29, 52, 8, 359, 0, 1675774825159, 1675774826264, [30, 4, 5], [0, 1], 511.6456333399553
30, 100, 184.7606986258583, 22, 34, 8, 55, 0, 1675774864857, 1675774865995, [30, 4, 5], [0, 1], 757.2159779748291
20, 90, 176.91318187081976, 34, 72, 10, 181, 0, 1675774905283, 1675774906416, [30, 3, 5], [-1, -1], 425.27207180485516
30, 80, 179.32209656547144, 57, 116, 9, 388, 0, 1675774945277, 1675774946408, [20, 5, 5], [1, -1], 260.6425822172549
40, 70, 187.1802957045757, 15, 28, 7, 47, 0, 1675774984946, 1675774986020, [30, 5, 5], [1, -1], 1063.524407412362
50, 60, 182.56507682565075, 31, 74, 8, 350, 0, 1675775024652, 1675775025967, [40, 4, 5], [1, -1], 461.02292127689583
40, 50, 179.97579301328472, 13, 21, 8, 40, 0, 1675775064641, 1675775065801, [50, 3, 5], [-1, -1], 1232.7109110498952
50, 60, 185.63247698329567, 14, 25, 8, 40, 0, 1675775104387, 1675775105445, [40, 4, 5], [1, 1], 1145.8794875512076
40, 70, 187.70633603574083, 23, 38, 8, 87, 0, 1675775144055, 1675775145119, [50, 3, 5], [-1, 1], 721.9474462913108
30, 80, 188.41366873273836, 10, 14, 7, 24, 0, 1675775183815, 1675775184877, [40, 3, 5], [-1, 1], 1744.5710067846144
30, 70, 186.15827871593234, 15, 25, 7, 48, 0, 1675775223580, 1675775224669, [30, 4, 5], [0, -1], 1095.0486983290136
40, 80, 187.53033191022456, 16, 33, 7, 131, 0, 1675775263155, 1675775264327, [30, 3, 5], [1, 1], 966.6511954135286
40, 70, 189.21543618454322, 22, 39, 7, 133, 0, 1675775302905, 1675775303970, [40, 3, 5], [0, -1], 744.942662143871
30, 60, 186.09304998718986, 21, 43, 8, 166, 0, 1675775342673, 1675775343730, [40, 4, 5], [-1, -1], 732.6498030991727
30, 50, 187.9714191577149, 13, 24, 8, 45, 0, 1675775382218, 1675775383288, [30, 3, 5], [0, -1], 1236.654073406019
40, 50, 186.93564434707486, 14, 22, 8, 41, 0, 1675775421842, 1675775422907, [30, 3, 5], [1, 0], 1198.305412481249
50, 50, 187.26854449556726, 13, 24, 7, 36, 0, 1675775461610, 1675775462685, [40, 4, 5], [1, 0], 1232.0298979971528
40, 50, 188.51213113763782, 12, 17, 7, 35, 0, 1675775501138, 1675775502192, [50, 4, 5], [-1, -1], 1450.0933164433677
50, 60, 190.29650766980026, 15, 29, 8, 60, 0, 1675775540617, 1675775541697, [40, 3, 5], [1, 1], 1069.081503762923
50, 50, 190.74977304688423, 10, 14, 7, 22, 0, 1675775580108, 1675775581160, [50, 3, 5], [0, -1], 1766.201602285965
50, 50, 188.79893937584978, 15, 31, 7, 50, 0, 1675775605031, 1675775606105, [50, 3, 5], [0, 0], 1037.3568097574164
50, 50, 190.65776930409913, 11, 16, 7, 30, 0, 1675775644765, 1675775645816, [50, 4, 5], [0, -1], 1588.8147442008262
60, 50, 170.80388396974996, 46, 99, 9, 287, 0, 1675775685184, 1675775686299, [50, 3, 5], [1, 0], 301.77364658966417
50, 60, 171.03025192981437, 55, 109, 11, 504, 0, 1675775725517, 1675775726786, [60, 4, 5], [-1, 1], 259.92439503011303
50, 50, 188.59972043492644, 14, 23, 7, 40, 0, 1675775765244, 1675775766464, [50, 5, 5], [0, -1], 1193.6691166767496
50, 50, 190.21999670755687, 13, 22, 7, 39, 0, 1675775789897, 1675775790970, [50, 4, 5], [0, 0], 1285.2702480240328
60, 50, 188.23633625653292, 10, 13, 7, 19, 0, 1675775829448, 1675775830531, [50, 4, 5], [1, -1], 1775.8144929861596
50, 50, 187.54418234956898, 76, 143, 7, 506, 0, 1675775869061, 1675775870141, [60, 3, 5], [-1, 0], 209.7809645968333
50, 60, 177.13979223125565, 66, 101, 11, 279, 0, 1675775909000, 1675775910107, [50, 4, 5], [0, 1], 242.65724963185704
40, 50, 192.30769230769232, 14, 25, 8, 47, 0, 1675775948587, 1675775949630, [50, 5, 5], [-1, -1], 1187.0845204178536
30, 50, 172.0879739455591, 25, 41, 7, 329, 0, 1675775988540, 1675775989581, [40, 4, 5], [-1, -1], 610.2410423601386
30, 50, 189.84444828878702, 14, 25, 7, 42, 0, 1675776028464, 1675776029506, [30, 4, 5], [0, -1], 1171.879310424611
30, 50, 189.85881784726953, 13, 24, 7, 39, 0, 1675776067978, 1675776069017, [30, 4, 5], [0, -1], 1249.0711700478257
30, 50, 192.03289358446037, 13, 25, 7, 46, 0, 1675776107543, 1675776108582, [30, 4, 5], [0, -1], 1246.9668414575349
30, 50, 192.40059302693606, 10, 16, 7, 34, 0, 1675776146987, 1675776148026, [30, 4, 5], [0, -1], 1717.8624377405008
30, 50, 192.30840350740942, 9, 14, 5, 24, 0, 1675776171388, 1675776172427, [30, 3, 5], [0, 0], 1923.0840350740941
30, 50, 191.4795715403977, 13, 24, 7, 37, 0, 1675776210758, 1675776211802, [30, 4, 5], [0, -1], 1259.7340232920901
20, 60, 192.40023691419265, 10, 15, 7, 25, 0, 1675776250210, 1675776251254, [30, 3, 5], [-1, 1], 1749.0930628562967
10, 70, 191.57369348209045, 9, 13, 4, 24, 0, 1675776289675, 1675776290731, [20, 3, 5], [-1, 1], 1954.8336069601064
20, 70, 192.49278152069297, 12, 21, 7, 41, 0, 1675776329166, 1675776330213, [10, 3, 5], [1, 0], 1394.8752284108184
10, 60, 175.1592235420089, 44, 80, 11, 376, 0, 1675776369723, 1675776370777, [20, 3, 5], [-1, -1], 342.10785848048613
10, 60, 180.3138207054149, 47, 84, 10, 127, 0, 1675776394854, 1675776395921, [10, 4, 5], [0, 0], 331.459229237895
20, 60, 190.74977304688423, 12, 21, 7, 38, 0, 1675776434535, 1675776435587, [10, 6, 5], [1, 0], 1382.2447322237988
30, 50, 180.3887169740828, 19, 36, 7, 224, 0, 1675776474303, 1675776475460, [20, 4, 5], [1, -1], 805.3067722057268
30, 50, 190.11561450986946, 11, 18, 7, 35, 0, 1675776514027, 1675776515078, [30, 4, 5], [0, -1], 1533.1904395957213
30, 50, 192.12295869356387, 15, 31, 7, 54, 0, 1675776553514, 1675776554557, [30, 4, 5], [0, -1], 1055.620652162439
40, 50, 191.9387564321127, 11, 18, 7, 35, 0, 1675776592978, 1675776594021, [30, 3, 5], [1, -1], 1547.893197033167
30, 50, 187.47847599502398, 31, 57, 8, 168, 0, 1675776632616, 1675776633700, [40, 3, 5], [-1, -1], 517.8963425276905
40, 60, 161.07548864727565, 62, 116, 11, 379, 0, 1675776672591, 1675776674079, [30, 3, 5], [1, 1], 221.25753935065333
30, 50, 185.2719524523004, 18, 38, 7, 94, 0, 1675776712485, 1675776713568, [40, 4, 5], [-1, -1], 842.1452384195474
40, 60, 189.23914940851574, 44, 71, 7, 359, 0, 1675776752390, 1675776753436, [30, 5, 5], [1, 1], 383.0752012318132
30, 50, 182.48235948358823, 11, 17, 7, 38, 0, 1675776792003, 1675776793112, [40, 4, 5], [-1, -1], 1495.7570449474445
30, 50, 192.12366784567726, 12, 19, 7, 128, 0, 1675776831756, 1675776832796, [30, 4, 5], [0, -1], 1433.758715266248
30, 50, 191.9387564321127, 15, 30, 7, 52, 0, 1675776871217, 1675776872259, [30, 4, 5], [0, -1], 1066.3264246228484
40, 60, 191.94299919225523, 10, 14, 7, 23, 0, 1675776910653, 1675776911691, [30, 4, 5], [1, 1], 1777.2499925208815
50, 70, 192.03112323917694, 16, 36, 7, 68, 0, 1675776950159, 1675776951197, [40, 3, 5], [1, 1], 960.1556161958847
40, 70, 190.74907900122798, 9, 11, 7, 17, 0, 1675776989612, 1675776990661, [50, 3, 5], [-1, 0], 2029.2455212896596
30, 60, 187.79342723004694, 21, 43, 7, 161, 0, 1675777029318, 1675777030385, [40, 4, 5], [-1, -1], 739.3442016930982
30, 60, 191.94017066465273, 14, 30, 7, 51, 0, 1675777053733, 1675777054771, [30, 3, 5], [0, 0], 1115.9312247944924
30, 50, 191.48027359038804, 12, 20, 7, 30, 0, 1675777093270, 1675777094313, [30, 4, 5], [0, -1], 1407.9431881646178
30, 50, 189.663731330398, 11, 17, 8, 31, 0, 1675777117979, 1675777119027, [30, 3, 5], [0, 0], 1554.6207486098194
30, 50, 191.29607435937316, 14, 32, 7, 54, 0, 1675777157511, 1675777158554, [30, 4, 5], [0, -1], 1086.9095134055292
20, 50, 191.6627176983576, 9, 14, 7, 24, 0, 1675777197010, 1675777198063, [30, 3, 5], [-1, -1], 1916.627176983576
10, 50, 191.11362723255053, 15, 29, 7, 50, 0, 1675777236490, 1675777237607, [20, 3, 5], [-1, 0], 1073.6720631042165
